DutyID,CplexValue
4344354,1,000000000
7085276,1,000000000
4447461,1,000000000
4365341,1,000000000
4345655,1,000000000
4374271,1,000000000
5426724,1,000000000
5289445,1,000000000
4895976,1,000000000
4562142,1,000000000
4344373,1,000000000
4527799,1,000000000
7085388,1,000000000
5440365,1,000000000
4374118,1,000000000
4356968,1,000000000
7079397,1,000000000
4367276,1,000000000
6947613,1,000000000
4345251,1,000000000
5438629,1,000000000
4633054,1,000000000
6484351,1,000000000
5432111,1,000000000
7087923,1,000000000
4348592,1,000000000
4357797,1,000000000
7085280,1,000000000
7085293,1,000000000
7087820,1,000000000
7087900,1,000000000
7085180,1,000000000
7067890,1,000000000
7087853,1,000000000
4352937,1,000000000
7085008,1,000000000
4469783,1,000000000
5678192,1,000000000
4430638,1,000000000
7083825,1,000000000
7087828,1,000000000
7084850,1,000000000
5280966,1,000000000
5297322,1,000000000
4418764,1,000000000
4447201,1,000000000
7086438,1,000000000
4345621,1,000000000
7084279,1,000000000
7087482,1,000000000
5429988,1,000000000
4479038,1,000000000
6719403,1,000000000
5607465,1,000000000
7085221,1,000000000
4369699,1,000000000
7057158,1,000000000
4391959,1,000000000
7085057,1,000000000
6824608,1,000000000
4534949,1,000000000
4470063,1,000000000
4389288,1,000000000
6470477,1,000000000
4344320,1,000000000
6439516,1,000000000
5476517,1,000000000
4517479,1,000000000
7061877,1,000000000
4381577,1,000000000
4344057,1,000000000
7067202,1,000000000
4344222,1,000000000
4343486,1,000000000
7063229,1,000000000
7087925,1,000000000
7087928,1,000000000
7087937,1,000000000
7087850,1,000000000
6429091,1,000000000
7087880,1,000000000
7086655,1,000000000
4409468,1,000000000
7086622,1,000000000
7085366,1,000000000
7085367,1,000000000
4376799,1,000000000
4393199,1,000000000
4356404,1,000000000
4431473,1,000000000
4412013,1,000000000
4408367,1,000000000
5445669,1,000000000
7085239,1,000000000
7082015,1,000000000
7087990,1,000000000
7089797,1,000000000
7088736,1,000000000
7091705,1,000000000
7088651,1,000000000
7090421,1,000000000
7090268,1,000000000
7089959,1,000000000
7088931,1,000000000
7088962,1,000000000
7089459,1,000000000
7088280,1,000000000
7090709,1,000000000
7090220,1,000000000
7090745,1,000000000
7091720,1,000000000
7088174,1,000000000
7090145,1,000000000
7088902,1,000000000
7089320,1,000000000
7090166,1,000000000
7091775,1,000000000
7092188,1,000000000
